,Cena,Kvadratura,Sprat,Uknjizeno,Parking,Lift,Distance
1885,682500,0.7272727272727273,0.13513513513513514,0,0,0,0.006506919907512347
1886,1080000,0.743801652892562,0.05405405405405406,0,0,0,0.006506919907512347
1887,55000,0.12396694214876033,0.02702702702702703,0,1,0,0.021589149733401425
1888,93000,0.243801652892562,0.16216216216216217,0,0,0,0.019306984702372236
1889,99000,0.24793388429752067,0.40540540540540543,1,0,1,1.0
1890,180000,0.25206611570247933,0.10810810810810811,0,0,1,0.007929929720541828
1891,330000,0.34710743801652894,0.02702702702702703,1,0,0,0.001946356322707817
1892,124000,0.29338842975206614,0.02702702702702703,0,1,0,0.6380283639975876
1893,320000,0.43388429752066116,0.10810810810810811,1,0,0,0.006506919907512347
1894,120000,0.2231404958677686,0.16216216216216217,1,1,0,0.00695115508263026
1895,112000,0.16115702479338845,0.16216216216216217,1,0,0,0.020146141853975598
1896,174573,0.2809917355371901,0.05405405405405406,0,0,0,0.039003927092789575
1897,154888,0.25206611570247933,0.05405405405405406,0,0,0,0.039003927092789575
1898,80400,0.30578512396694213,0.16216216216216217,0,0,0,0.018923295817340917
1901,135000,0.25206611570247933,0.13513513513513514,0,1,1,0.017225751665349235
1902,75000,0.2190082644628099,0.02702702702702703,1,0,0,0.01826893263438405
1903,105000,0.25206611570247933,0.16216216216216217,1,0,1,0.016080162556114323
1904,352345,0.4132231404958678,0.10810810810810811,1,0,1,0.5231586419223632
1905,169000,0.2190082644628099,0.10810810810810811,1,0,1,0.009735694710630984
1906,384285,0.5661157024793388,0.13513513513513514,0,0,0,0.039003927092789575
1907,154888,0.24793388429752067,0.10810810810810811,0,0,0,0.039003927092789575
1908,154888,0.24793388429752067,0.08108108108108109,0,0,0,0.039003927092789575
1909,168963,0.2727272727272727,0.08108108108108109,0,0,0,0.039003927092789575
1910,370260,0.5454545454545454,0.13513513513513514,0,0,0,0.039003927092789575
1911,149500,0.30578512396694213,0.05405405405405406,1,0,0,0.01281413621517169
1912,143000,0.2272727272727273,0.10810810810810811,1,0,0,0.005925203379395366
1913,138500,0.26859504132231404,0.05405405405405406,1,0,1,0.01598373497428315
1914,255000,0.371900826446281,0.02702702702702703,0,0,1,0.011830381645460877
1915,2100,0.2396694214876033,0.08108108108108109,0,0,0,0.014280521097202794
1916,142000,0.29338842975206614,0.1891891891891892,1,1,1,0.02021010086172128
1917,203000,0.3305785123966942,0.05405405405405406,1,0,0,0.00375025143497268
1918,159000,0.34297520661157027,0.02702702702702703,0,0,0,0.022190282045269304
1919,175000,0.2975206611570248,0.1891891891891892,1,1,1,0.010138436091169403
1920,76400,0.15702479338842976,0.05405405405405406,0,0,0,0.022588553079878962
1921,83060,0.17355371900826447,0.08108108108108109,0,0,0,0.022588553079878962
1922,480000,0.359504132231405,0.10810810810810811,0,0,0,0.004279155544604983
1923,172800,0.2231404958677686,0.08108108108108109,0,0,0,0.006506919907512347
1924,236800,0.30578512396694213,0.02702702702702703,1,0,1,0.006200762835713511
1925,197000,0.30578512396694213,0.08108108108108109,1,0,1,0.009606345181697519
1926,119000,0.371900826446281,0.13513513513513514,0,0,0,0.02193093847298016
1927,80359,0.19421487603305787,0.16216216216216217,0,0,0,0.01144642579448198
1928,291000,0.3925619834710744,0.02702702702702703,1,0,0,0.01133802063461089
1929,295000,0.384297520661157,0.13513513513513514,1,0,0,0.7929957993543686
1930,141000,0.2231404958677686,0.10810810810810811,1,0,0,0.014280521097202794
1931,152000,0.17355371900826447,0.05405405405405406,1,0,0,0.011302376132269313
1932,175000,0.19008264462809918,0.05405405405405406,0,0,0,0.006200762835713511
1933,234000,0.3223140495867769,0.1891891891891892,1,0,0,0.008077486120982302
1934,81140,0.16942148760330578,0.05405405405405406,0,0,0,0.022588553079878962
1935,81160,0.16942148760330578,0.08108108108108109,0,0,0,0.022588553079878962
1936,97000,0.2024793388429752,0.05405405405405406,0,0,0,0.022588553079878962
1937,81160,0.16942148760330578,0.05405405405405406,0,0,0,0.022588553079878962
1938,87000,0.18181818181818182,0.05405405405405406,0,0,0,0.022588553079878962
1939,178000,0.359504132231405,0.10810810810810811,0,0,1,0.014541743493166396
1940,179000,0.4256198347107438,0.21621621621621623,1,0,0,0.015314564678384428
1941,250000,0.756198347107438,0.13513513513513514,0,0,0,0.018923295817340917
1942,167500,0.2768595041322314,0.05405405405405406,0,0,1,0.011302376132269313
1943,219990,0.4545454545454546,0.13513513513513514,1,0,0,0.014541743493166396
1944,187000,0.30991735537190085,0.08108108108108109,1,1,0,0.014793632571294478
1945,104000,0.21074380165289258,0.16216216216216217,1,0,1,0.022190282045269304
1946,120000,0.243801652892562,0.02702702702702703,1,0,1,0.01882998169013566
1947,113000,0.29338842975206614,0.08108108108108109,1,0,0,0.022588553079878962
1948,105000,0.2066115702479339,0.02702702702702703,1,0,0,0.0069817373191750735
1949,131000,0.25619834710743805,0.08108108108108109,1,0,0,0.01799419706252143
1950,132600,0.2066115702479339,0.02702702702702703,1,0,1,0.018169813046222283
1951,349900,0.5909090909090909,0.10810810810810811,1,0,0,0.008279603424420258
1952,520000,0.487603305785124,0.05405405405405406,1,0,0,0.012230228420503163
1953,59000,0.17768595041322316,0.02702702702702703,0,0,1,0.01594779887923906
1954,495000,0.6528925619834711,0.16216216216216217,1,0,1,0.007929929720541828
1955,185000,0.3925619834710744,0.16216216216216217,0,0,1,0.02021010086172128
1956,149000,0.2272727272727273,0.13513513513513514,1,0,1,0.008964526391543517
1957,93800,0.2768595041322314,0.02702702702702703,1,0,0,0.031067115289575828
1958,90000,0.2644628099173554,0.16216216216216217,1,0,0,0.01057770874440825
1959,165000,0.30578512396694213,0.05405405405405406,0,0,0,0.014263756149671618
1960,179000,0.5,0.08108108108108109,1,0,0,0.01598373497428315
1961,110000,0.2396694214876033,0.02702702702702703,0,1,0,0.01598373497428315
1962,143000,0.21074380165289258,0.10810810810810811,1,0,0,0.005925203379395366
1963,125000,0.2190082644628099,0.13513513513513514,1,0,0,0.02293690673259472
1964,375000,0.4132231404958678,0.05405405405405406,0,0,0,0.0052931296451961445
1965,200000,0.4132231404958678,0.10810810810810811,1,0,0,0.6380283639975876
1966,119000,0.3181818181818182,0.02702702702702703,1,0,0,0.00695115508263026
1967,145000,0.30578512396694213,0.21621621621621623,1,0,0,0.021589149733401425
1968,181500,0.30991735537190085,0.08108108108108109,1,1,0,0.008279603424420258
1970,125000,0.17355371900826447,0.02702702702702703,1,0,0,0.004101665440535766
1971,231000,0.28512396694214875,0.13513513513513514,1,0,1,0.011830381645460877
1972,141900,0.4256198347107438,0.05405405405405406,1,1,0,0.013850755248284958
1974,362310,0.5,0.05405405405405406,0,0,0,0.008279603424420258
1975,417180,0.5743801652892562,0.13513513513513514,0,0,0,0.008279603424420258
1976,375840,0.5165289256198348,0.05405405405405406,0,0,0,0.008279603424420258
1977,879280,0.9090909090909092,0.21621621621621623,0,0,0,0.008279603424420258
1978,347340,0.4793388429752066,0.13513513513513514,0,0,0,0.008279603424420258
1979,398480,0.4834710743801653,0.1891891891891892,0,0,0,0.008279603424420258
1980,362310,0.5,0.08108108108108109,0,0,0,0.008279603424420258
1981,375840,0.5165289256198348,0.16216216216216217,0,0,0,0.008279603424420258
1982,423630,0.5826446280991736,0.16216216216216217,0,0,0,0.008279603424420258
1983,347340,0.4793388429752066,0.05405405405405406,0,0,0,0.008279603424420258
1984,347610,0.4793388429752066,0.08108108108108109,0,0,0,0.008279603424420258
1985,347340,0.4793388429752066,0.10810810810810811,0,0,0,0.008279603424420258
1986,73000,0.14462809917355374,0.16216216216216217,1,0,0,0.01144642579448198
1987,367500,0.43388429752066116,0.13513513513513514,0,0,1,0.007452969487930922
1988,205000,0.25619834710743805,0.10810810810810811,1,0,0,0.002235837785487181
1989,130000,0.21487603305785125,0.10810810810810811,1,0,0,0.01996168437634631
1990,393958,0.4793388429752066,0.16216216216216217,0,0,0,0.008279603424420258
1991,393958,0.4793388429752066,0.1891891891891892,0,0,0,0.008279603424420258
1992,362310,0.5,0.10810810810810811,0,0,0,0.008279603424420258
1993,85800,0.11570247933884298,0.02702702702702703,1,0,0,0.005782931327602227
1994,80000,0.13636363636363635,0.16216216216216217,1,0,1,0.017225751665349235
1995,650000,0.5165289256198348,0.08108108108108109,0,0,1,0.012230228420503163
1996,250000,0.3305785123966942,0.16216216216216217,1,0,1,0.5231586419223632
1997,250000,0.4669421487603306,0.1891891891891892,1,1,1,0.022449886418884027
1998,200000,0.5991735537190083,0.05405405405405406,1,0,0,0.018923295817340917
1999,323000,0.4380165289256198,0.13513513513513514,1,0,1,0.001741736574400946
2000,315000,0.4380165289256198,0.13513513513513514,1,0,0,0.0069817373191750735
2002,299937,0.3760330578512397,0.05405405405405406,0,1,1,0.006827877128941343
2003,70000,0.1487603305785124,0.0,0,0,0,0.0030594132701744535
2004,215000,0.30165289256198347,0.02702702702702703,1,0,0,0.0036283439757641223
2005,225000,0.3925619834710744,0.10810810810810811,1,0,0,0.015314564678384428
2006,97000,0.21487603305785125,0.02702702702702703,0,0,0,0.018923295817340917
2008,78000,0.12396694214876033,0.13513513513513514,1,0,0,0.009685155908788875
2009,160000,0.2809917355371901,0.08108108108108109,1,0,1,0.013850755248284958
2010,129000,0.2809917355371901,0.13513513513513514,1,1,0,0.015964108003108154
2011,155400,0.30578512396694213,0.13513513513513514,1,0,0,0.02293690673259472
2012,99000,0.13636363636363635,0.08108108108108109,1,0,1,0.011302376132269313
2013,44690,0.11983471074380166,0.08108108108108109,0,0,0,0.010092750022860685
2014,172000,0.2975206611570248,0.05405405405405406,1,0,1,0.01841532209467618
2015,109694,0.17355371900826447,0.05405405405405406,0,0,1,0.007166630916253918
2016,81666,0.12809917355371903,0.02702702702702703,0,1,1,0.007166630916253918
2017,230000,0.4380165289256198,0.05405405405405406,1,1,1,0.012219513997981874
2019,59000,0.12396694214876033,0.10810810810810811,0,0,0,0.6380283639975876
2020,262000,0.30991735537190085,0.08108108108108109,1,1,1,0.008337499444683542
2021,68000,0.0743801652892562,0.08108108108108109,1,1,0,0.008337499444683542
2023,266000,0.3140495867768595,0.05405405405405406,1,0,0,0.003927630445176089
2024,146000,0.21487603305785125,0.02702702702702703,1,0,0,0.007452969487930922
2025,220000,0.3512396694214876,0.08108108108108109,1,1,1,0.008279603424420258
2026,112000,0.19008264462809918,0.1891891891891892,0,0,1,0.015294290939558032
2027,175000,0.2975206611570248,0.1891891891891892,0,0,1,0.008279603424420258
2028,320000,0.32644628099173556,0.13513513513513514,1,0,1,0.007929929720541828
2029,300000,0.3677685950413223,0.16216216216216217,1,0,1,0.009965168710246785
2030,199000,0.3305785123966942,0.24324324324324326,1,1,1,0.0069817373191750735
2031,160000,0.2231404958677686,0.10810810810810811,1,0,1,0.015314564678384428
2033,165000,0.2892561983471075,0.13513513513513514,1,0,1,0.016947924388480615
2034,122500,0.21074380165289258,0.1891891891891892,1,0,0,0.01996168437634631
2035,135000,0.3512396694214876,0.16216216216216217,1,0,0,0.014263756149671618
2036,298000,0.3925619834710744,0.02702702702702703,1,0,1,0.0063541678149093865
2037,800000,0.49586776859504134,0.3783783783783784,1,0,1,0.004279155544604983
2038,67000,0.14049586776859505,0.10810810810810811,1,0,0,0.02193093847298016
2040,195000,0.23140495867768596,0.13513513513513514,1,0,1,0.004996728480171765
2041,370000,0.33884297520661155,0.21621621621621623,1,0,1,0.004996728480171765
2042,93000,0.19421487603305787,0.16216216216216217,1,0,0,0.014629980640930514
2043,263000,0.38016528925619836,0.10810810810810811,1,0,1,0.007673029079770156
2044,80000,0.15702479338842976,0.02702702702702703,1,0,0,0.02193093847298016
